Datasheet,Category,Subcategory,MPN,SPN,Quantity,SMD/THT,Package
https://www.mouser.fr/datasheet/2/670/pqq6w_s-2474782.pdf,Power,DC-DC_Converters,PQQ6W-Q24-S15-S,490-PQQ6W-Q24-S15-S,18,THT,SIP-7
https://www.farnell.com/datasheets/3195174.pdf,Power,DC-DC_Converters,MPRB2415S-6W,3652723,5,THT,SIP-7
https://g.recomcdn.com/media/Datasheet/pdf/.fldP_2rX/.t124a6889b0e40eeb9ac1/Datasheet-285/R-78B-2_0.pdf,Power,DC-DC_Converters,R-78B5.0-2.0,139-2959,0,THT,SIP3
https://www.we-online.com/components/products/datasheet/171013801.pdf,Power,DC-DC_Converters,171013801,,10,SMD,custom
https://www.we-online.com/components/products/datasheet/173950378.pdf,Power,DC-DC_Converters,173950378,,4,THT,Type F
https://www.we-online.com/components/products/datasheet/173950536.pdf,Power,DC-DC_Converters,173950536,,6,THT,Type F
https://www.we-online.com/components/products/datasheet/17791063215.pdf,Power,DC-DC_Converters,17791063215,,11,SMD,SIP-8
https://www.diodes.com/datasheet/download/1N4148WS.pdf,Semiconductors,diodes,1N4148WS-7-F,1843678,20,SMD,SOD-323
https://www.littelfuse.com/media?resourcetype=datasheets&itemid=912974f6-eef7-4845-b8b6-22945ea4a824&filename=littelfuse-Power-semiconductor-schottky-rectifier-dst10100s-datasheet,Semiconductors,diodes,DST10100S,4066566,35,SMD,TO-227B
https://www.onsemi.com/pdf/datasheet/fsv340af-d.pdf,Semiconductors,diodes,FSV340AF,2824885,18,SMD,DO-214AD
https://www.st.com/resource/en/datasheet/stps0520z.pdf,Semiconductors,diodes,STPS0520Z,1467545,3,SMD,SOD-123
https://www.st.com/resource/en/datasheet/usblc6-2.pdf,Semiconductors,diodes,USBLC6-2SC6,624-7693,56,SMD,SOT-23
https://www.vishay.com/docs/88943/ss2p5.pdf,Semiconductors,diodes,SS2P5-M3/84A,1812486,18,SMD,DO-220AA
https://www.vishay.com/docs/94927/vs-15tq060s-m3.pdf,Semiconductors,diodes,VS-15TQ060S-M3,2909608,35,SMD,TO-263AB
,Semiconductors,gateDriver,HCPL-315J_500E,174-4163,7,SMD,SO-16
,Semiconductors,gpioExpander,"PCF8574TS/3,118",219-4650,9,SMD,SSOP20
,Semiconductors,gpioExpander,MCP23017-E/SO,403-816,8,SMD,SOIC-28
https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/21618b.pdf,Semiconductors,integratedCircuits,MCP2120-I/SL,1084305,2,SMD,SOIC-14
https://www.ti.com/lit/ds/symlink/lm3404.pdf?ts=1730061548853,Semiconductors,integratedCircuits,LM3404MA/NOPB,926-LM3404MA/NOPB,8,SMD,SOIC-8
,Semiconductors,ledDriver,"CA9685PW,118",1854074,9,SMD,TSSOP-28
,Semiconductors,motorDriver,TMC2225-SA-T,3690353,51,SMD,HTSSOP-28
,Semiconductors,motorDriver,TMC2226-SAT-T,3439216,6,SMD,HTSSOP-28
,Semiconductors,motorDriver,TMC2590-TA,3237586,17,SMD,TQFP-EP
https://www.analog.com/media/en/technical-documentation/data-sheets/1074fds.pdf,Semiconductors,PowerManagementICs,LT1076CR#PBF,584-LT1076CR#PBF,7,SMD,custom
https://www.analog.com/media/en/technical-documentation/data-sheets/MAX5033.pdf,Semiconductors,PowerManagementICs,MAX5033DUSA+,700-MAX5033DUSA,10,SMD,SOIC-8
https://www.diodes.com/datasheet/download/AP1509.pdf,Semiconductors,PowerManagementICs,AP1509-50SG-13,751-2923,10,SMD,SOP-8L
https://www.diodes.com/datasheet/download/AZ1117C.pdf,Semiconductors,PowerManagementICs,AZ1117CH2-3.3TRG1,3483072,45,SMD,SOT-223
https://www.diodes.com/datasheet/download/AZ1117C.pdf,Semiconductors,PowerManagementICs,AZ1117CH-3.3TRG1,3483073,137,SMD,SOT-223
https://www.diodes.com/datasheet/download/AZ1117.pdf,Semiconductors,PowerManagementICs,AZ1117H-3.3TRE1,921-0701,45,SMD,SOT-223
https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/MIC2172-3172-100kHz-1.25A-Switching-Regulators-DS20006208A.pdf,Semiconductors,PowerManagementICs,MIC3172YM,2510055,24,SMD,SOIC-8
https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/MIC5219-500mA-Peak-Output-LDO-Regulator-DS20006021A.pdf,Semiconductors,PowerManagementICs,MIC5219-3.3YMM,2510255,17,SMD,SOP-8
https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/MIC5317-High-Performance-Single-150mA-LDO-DS20006195B.pdf,Semiconductors,PowerManagementICs,MIC5317-3.3YM5-TR,2920683,8,SMD,SOT-23
,Sensors,current,GO 10-SME/SP3,3796461,3,SMD,SOIC-8
https://fscdn.rohm.com/en/products/databook/datasheet/ic/Power/linear_regulator/buxxsd2mg-m-e.pdf,Semiconductors,PowerManagementICs,BU18SD2MG-MTR,2546639,50,SMD,SSOP-5
https://fscdn.rohm.com/en/products/databook/datasheet/ic/Power/linear_regulator/buxxsd5wg-e.pdf,Semiconductors,PowerManagementICs,BU33SD5WG-TR,3011248,45,SMD,SSOP-5
,PassiveComponents,quartz,EC2620TS-25.000M TR,3572937,9,SMD,7mm x 5mm
,PassiveComponents,quartz,XRCGB27M120F3M00R0,81-XRCGB27M120F3M0R0,7,SMD,"2mm x 1,6mm"
,PassiveComponents,quartz,ABLS-16.000MHZ-20-B-3-H-T,3228387,39,SMD,"11,5mm x 4,7mm"
,PassiveComponents,quartz,ABLS-7.3728MHZ-20-B-3-H-T,3228448,3,SMD,"11,5mm x 4,7mm"
https://www.st.com/resource/en/datasheet/l78m.pdf,Semiconductors,PowerManagementICs,L78M05CDT-TR,2382524,10,SMD,TO-252-3
,Semiconductors,PowerManagementICs,INN4073C-H183-TL,228-6331,4,SMD,custom
,Optoelectronic,phototransistor,HCPL-817-300E,1244557,5,SMD,Gull Wing
,Semiconductors,PowerManagementICs,CPZ1061M,228-6322P,4,SMD,custom
,Semiconductors,transceiverEth,LAN8742A-CZ-TR,2857750,9,SMD,SQFN
,Semiconductors,transceiverRF,NRF24L01P-R7,2842317,10,SMD,QFN-20
,Sensors,IMU,LSM6DSMTR,2664522,2,SMD,LGA-14L
https://www.vishay.com/docs/76029/sqj504ep.pdf,Semiconductors,transistors,SQJ504EP-T1_GE3,2886991,37,SMD,PowerPak SO
https://fscdn.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/re1c002untcl-e.pdf,Semiconductors,transistors,RE1C002UNTCL,2965337,20,SMD,SOT-416FL
https://assets.nexperia.com/documents/data-sheet/BUK9637-100E.pdf,Semiconductors,transistors,"BUK9637-100E,118",2254193,19,SMD,TO-263
https://www.infineon.com/dgdl/Infineon-IRF540N-DataSheet-v01_01-EN.pdf?fileId=5546d462533600a4015355e39f0d19a1,Semiconductors,transistors,IRF540NPBF,914-8154,50,THT,TO-220
https://www.vishay.com/docs/91016/sihf510s.pdf,Semiconductors,transistors,IRF510SPBF,844-IRF510SPBF,20,SMD,TO-263
https://www.vishay.com/docs/67036/sq2310es.pdf,Semiconductors,transistors,SQ2310ES-T1_BE3,787-9443,22,SMD,SOT-23
,,,BMP085,,1,,
,,,IDUINO HC-05,,3,,
,,,NRF24L05,,6,,
,,,module LORA 113060006,,4,,
,,,adafruit QT PY C3,,1,,
,,,IMU 10DOF,,2,,
,,,MAX3097ECSE+,,5,,
,,,CY7C64225-28PVXCT,,5,,
,,,CY7C64225-28PVXC,,9,,
,,,SBC-TTL,,3,,
,,,TCN75AVOA,,12,,
https://content.kemet.com/datasheets/CER_ENG_KIT_30.pdf,PassiveComponents,capacitors,CER-ENG-KIT-30,867-5444,1,SMD,805
https://www.we-online.com/en/components/products/download/inlay/885080,PassiveComponents,capacitors,885080,,1,SMD,"1206, 1210, 1812"
https://www.we-online.com/en/components/products/download/inlay/885060,PassiveComponents,capacitors,885060,,1,SMD,603
https://www.vishay.com/docs/45259/vjhifreq-designkit.pdf,PassiveComponents,capacitors,VJ0805HIFRQ2KITHT,,1,SMD,805
https://www.we-online.com/en/components/products/download/inlay/885070,PassiveComponents,capacitors,885070,,1,SMD,805
https://www.we-online.com/components/products/datasheet/885012005055.pdf,PassiveComponents,capacitors,885012005055,,1000,SMD,402
https://www.we-online.com/components/products/datasheet/885012005056.pdf,PassiveComponents,capacitors,885012005056,,100,SMD,402
https://www.we-online.com/components/products/datasheet/74404054068.pdf,PassiveComponents,inductors,74404054068,,100,SMD,5040
https://www.we-online.com/components/products/datasheet/74404052047.pdf,PassiveComponents,inductors,74404052047,,100,SMD,5020
https://4donline.ihs.com/images/VipMasterIC/IC/SCMP/SCMP-S-A0009547702/SCMP-S-A0009547702-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0,PassiveComponents,resistors,MCWR04X1003FTL,2446411,10000,SMD,402
https://4donline.ihs.com/images/VipMasterIC/IC/SCMP/SCMP-S-A0009547702/SCMP-S-A0009547702-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0,PassiveComponents,resistors,MCWR04X10R0FTL,2446415,10000,SMD,402
https://4donline.ihs.com/images/VipMasterIC/IC/SCMP/SCMP-S-A0009547702/SCMP-S-A0009547702-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0,PassiveComponents,resistors,MCWR04X1001FTL,2446437,10000,SMD,402
https://4donline.ihs.com/images/VipMasterIC/IC/SCMP/SCMP-S-A0009547702/SCMP-S-A0009547702-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0,PassiveComponents,resistors,MCWR04X1602FTL,2447114,500,SMD,402
https://www.farnell.com/datasheets/2860635.pdf,PassiveComponents,resistors,MCMR04X4022FTL,2073013,500,SMD,402
https://www.farnell.com/datasheets/2861421.pdf,PassiveComponents,resistors,MC00625W040217K68,1803125,500,SMD,402
https://www.farnell.com/datasheets/2860635.pdf,PassiveComponents,resistors,MCMR04X200 JTL,2072748,500,SMD,402
https://www.we-online.com/components/products/datasheet/885012106031.pdf,PassiveComponents,capacitors,885012106031,,1000,SMD,603
https://www.we-online.com/en/components/products/download/inlay/694001,Connector,PowerJacks,694001,,1,SMD,kit
https://www.we-online.com/en/components/products/download/inlay/613001,Connector,pinHeader_pinSocket,613001,,1,"SMD, THT","1.27mm, 2mm, 2.54mm"
https://www.we-online.com/en/components/products/download/inlay/150151,Optoelectronic,LED,150151,,1,"SMD, THT",kit
https://www.we-online.com/en/components/products/download/inlay/158300,Optoelectronic,LED,158300,,1,SMD,kit
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_51_RoHS_L_11.pdf,PassiveComponents,resistors,AC0805FR-07100KL,197-8152,5000,SMD,805
https://www.we-online.com/components/products/datasheet/784770.pdf,PassiveComponents,inductors,784770,,1,SMD,"1260, 1280, 1210"
https://www.we-online.com/en/components/products/download/inlay/830002,PassiveComponents,quartz,830002,,1,SMD,kit
https://www.we-online.com/en/components/products/download/inlay/560112,PassiveComponents,resistors,560112,,1,SMD,402
https://www.we-online.com/en/components/products/download/inlay/830001,PassiveComponents,quartz,830001,,1,"SMD, THT",kit
https://www.we-online.com/en/components/products/download/inlay/560114,PassiveComponents,resistors,560114,,1,SMD,"0805, 1206"
https://www.we-online.com/en/components/products/download/inlay/744790,PassiveComponents,inductors,744790,,1,SMD,"0603, 0805, 1206"
https://www.we-online.com/components/products/datasheet/885012107019.pdf,PassiveComponents,capacitors,885012107019,,1000,SMD,805
https://www.we-online.com/components/products/datasheet/885012106012.pdf,PassiveComponents,capacitors,885012106012,,1000,SMD,603
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_51_RoHS_L_11.pdf,PassiveComponents,resistors,AC0805FR-0710KL,197-8157,5000,SMD,805
https://www.we-online.com/components/products/datasheet/885012205086.pdf,PassiveComponents,capacitors,885012205086,,200,SMD,402
https://www.we-online.com/components/products/datasheet/885012214001.pdf,PassiveComponents,capacitors,885012214001,,80,SMD,2220
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_51_RoHS_L_11.pdf,PassiveComponents,resistors,AC0805FR-071KL,197-8172,5000,SMD,805
https://www.we-online.com/components/products/datasheet/885012205085.pdf,PassiveComponents,capacitors,885012205085,,1000,SMD,402
https://www.farnell.com/datasheets/2830050.pdf,PassiveComponents,resistors,MP000459,3213383,1,SMD,603
