MPN;SPN;Quantity;SMD/THT;Category;Subcategory;Datasheet URL
173950536;—;6;THT;Power;DC-DC_Converters;https://www.we-online.com/components/products/datasheet/173950536.pdf
17791063215;—;11;SMD;Power;DC-DC_Converters;https://www.we-online.com/components/products/datasheet/17791063215.pdf
1N4148WS-7-F;1843678;20;SMD;Semiconductors;diodes;https://www.diodes.com/datasheet/download/1N4148WS.pdf
DST10100S;4066566;35;SMD;Semiconductors;diodes;https://www.littelfuse.com/media?resourcetype=datasheets&itemid=912974f6-eef7-4845-b8b6-22945ea4a824&filename=littelfuse-Power-semiconductor-schottky-rectifier-dst10100s-datasheet
FSV340AF;2824885;18;SMD;Semiconductors;diodes;https://www.onsemi.com/pdf/datasheet/fsv340af-d.pdf
STPS0520Z;1467545;3;SMD;Semiconductors;diodes;https://www.st.com/resource/en/datasheet/stps0520z.pdf
USBLC6-2SC6;624-7693;56;SMD;Semiconductors;diodes;https://www.st.com/resource/en/datasheet/usblc6-2.pdf
SS2P5-M3/84A;1812486;18;SMD;Semiconductors;diodes;https://www.vishay.com/docs/88943/ss2p5.pdf
VS-15TQ060S-M3;2909608;35;SMD;Semiconductors;diodes;https://www.vishay.com/docs/94927/vs-15tq060s-m3.pdf
HCPL-315J_500E;174-4163;7;SMD;Semiconductors;gateDriver;—
PCF8574TS/3,118;219-4650;9;SMD;Semiconductors;gpioExpander;—
MCP23017-E/SO;403-816;8;SMD;Semiconductors;gpioExpander;—
MCP2120-I/SL;1084305;2;SMD;Semiconductors;integratedCircuits;https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/21618b.pdf
LM3404MA/NOPB;926-LM3404MA/NOPB;8;SMD;Semiconductors;integratedCircuits;https://www.ti.com/lit/ds/symlink/lm3404.pdf?ts=1730061548853
CA9685PW,118;1854074;9;SMD;Semiconductors;ledDriver;—
TMC2225-SA-T;3690353;51;SMD;Semiconductors;motorDriver;—
TMC2226-SAT-T;3439216;6;SMD;Semiconductors;motorDriver;—
TMC2590-TA;3237586;17;SMD;Semiconductors;motorDriver;—
LT1076CR#PBF;584-LT1076CR#PBF;7;SMD;Semiconductors;PowerManagementICs;https://www.analog.com/media/en/technical-documentation/data-sheets/1074fds.pdf
MAX5033DUSA+;700-MAX5033DUSA;10;SMD;Semiconductors;PowerManagementICs;https://www.analog.com/media/en/technical-documentation/data-sheets/MAX5033.pdf
AP1509-50SG-13;751-2923;10;SMD;Semiconductors;PowerManagementICs;https://www.diodes.com/datasheet/download/AP1509.pdf
AZ1117CH2-3.3TRG1;3483072;45;SMD;Semiconductors;PowerManagementICs;https://www.diodes.com/datasheet/download/AZ1117C.pdf
AZ1117CH-3.3TRG1;3483073;137;SMD;Semiconductors;PowerManagementICs;https://www.diodes.com/datasheet/download/AZ1117C.pdf
AZ1117H-3.3TRE1;921-0701;45;SMD;Semiconductors;PowerManagementICs;https://www.diodes.com/datasheet/download/AZ1117.pdf
MIC3172YM;2510055;24;SMD;Semiconductors;PowerManagementICs;https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/MIC2172-3172-100kHz-1.25A-Switching-Regulators-DS20006208A.pdf
MIC5219-3.3YMM;2510255;17;SMD;Semiconductors;PowerManagementICs;https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/MIC5219-500mA-Peak-Output-LDO-Regulator-DS20006021A.pdf
MIC5317-3.3YM5-TR;2920683;8;SMD;Semiconductors;PowerManagementICs;https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/MIC5317-High-Performance-Single-150mA-LDO-DS20006195B.pdf
GO 10-SME/SP3;3796461;3;SMD;Sensors;current;—
BU18SD2MG-MTR;2546639;50;SMD;Semiconductors;PowerManagementICs;https://fscdn.rohm.com/en/products/databook/datasheet/ic/Power/linear_regulator/buxxsd2mg-m-e.pdf
BU33SD5WG-TR;3011248;45;SMD;Semiconductors;PowerManagementICs;https://fscdn.rohm.com/en/products/databook/datasheet/ic/Power/linear_regulator/buxxsd5wg-e.pdf
EC2620TS-25.000M TR;3572937;9;SMD;PassiveComponents;quartz;—
XRCGB27M120F3M00R0;81-XRCGB27M120F3M0R0;7;SMD;PassiveComponents;quartz;—
ABLS-16.000MHZ-20-B-3-H-T;3228387;39;SMD;PassiveComponents;quartz;—
ABLS-7.3728MHZ-20-B-3-H-T;3228448;3;SMD;PassiveComponents;quartz;—
L78M05CDT-TR;2382524;10;SMD;Semiconductors;PowerManagementICs;https://www.st.com/resource/en/datasheet/l78m.pdf
INN4073C-H183-TL;228-6331;4;SMD;Semiconductors;PowerManagementICs;—
HCPL-817-300E;1244557;5;SMD;Optoelectronic;phototransistor;—
CPZ1061M;228-6322P;4;SMD;Semiconductors;PowerManagementICs;—
LAN8742A-CZ-TR;2857750;9;SMD;Semiconductors;transceiverEth;—
NRF24L01P-R7;2842317;10;SMD;Semiconductors;transceiverRF;—
LSM6DSMTR;2664522;2;SMD;Sensors;IMU;—
SQJ504EP-T1_GE3;2886991;37;SMD;Semiconductors;transistors;https://www.vishay.com/docs/76029/sqj504ep.pdf
RE1C002UNTCL;2965337;20;SMD;Semiconductors;transistors;https://fscdn.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/re1c002untcl-e.pdf
BUK9637-100E,118;2254193;19;SMD;Semiconductors;transistors;https://assets.nexperia.com/documents/data-sheet/BUK9637-100E.pdf
IRF540NPBF;914-8154;50;THT;Semiconductors;transistors;https://www.infineon.com/dgdl/Infineon-IRF540N-DataSheet-v01_01-EN.pdf?fileId=5546d462533600a4015355e39f0d19a1
IRF510SPBF;844-IRF510SPBF;20;SMD;Semiconductors;transistors;—
SQ2310ES-T1_BE3;787-9443;22;SMD;Semiconductors;transistors;https://www.vishay.com/docs/67036/sq2310es.pdf
BMP085;—;1;;—;—;—
IDUINO HC-05;—;3;;—;—;—
NRF24L05;—;6;;—;—;—
module LORA 113060006;—;4;;—;—;—
adafruit QT PY C3;—;1;;—;—;—
IMU 10DOF;—;2;;—;—;—
MAX3097ECSE+;—;5;;—;—;—
CY7C64225-28PVXCT;—;5;;—;—;—
CY7C64225-28PVXC;—;9;;—;—;—
SBC-TTL;—;3;;—;—;—
TCN75AVOA;—;12;;—;—;—
CER-ENG-KIT-30;867-5444;1;SMD;PassiveComponents;capacitors;https://content.kemet.com/datasheets/CER_ENG_KIT_30.pdf
885080;—;1;SMD;PassiveComponents;capacitors;https://www.we-online.com/en/components/products/download/inlay/885080
885060;—;1;SMD;PassiveComponents;capacitors;https://www.we-online.com/en/components/products/download/inlay/885060
VJ0805HIFRQ2KITHT;—;1;SMD;PassiveComponents;capacitors;https://www.vishay.com/docs/45259/vjhifreq-designkit.pdf
885070;—;1;SMD;PassiveComponents;capacitors;https://www.we-online.com/en/components/products/download/inlay/885070
885012005055;—;1000;SMD;PassiveComponents;capacitors;https://www.we-online.com/components/products/datasheet/885012005055.pdf
885012005056;—;100;SMD;PassiveComponents;capacitors;https://www.we-online.com/components/products/datasheet/885012005056.pdf
74404054068;—;100;SMD;PassiveComponents;inductors;https://www.we-online.com/components/products/datasheet/74404054068.pdf
74404052047;—;100;SMD;PassiveComponents;inductors;https://www.we-online.com/components/products/datasheet/74404052047.pdf
MCWR04X1003FTL;2446411;10000;SMD;PassiveComponents;resistors;https://4donline.ihs.com/images/VipMasterIC/IC/SCMP/SCMP-S-A0009547702/SCMP-S-A0009547702-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0
MCWR04X10R0FTL;2446415;10000;SMD;PassiveComponents;resistors;https://4donline.ihs.com/images/VipMasterIC/IC/SCMP/SCMP-S-A0009547702/SCMP-S-A0009547702-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0
MCWR04X1001FTL;2446437;10000;SMD;PassiveComponents;resistors;https://4donline.ihs.com/images/VipMasterIC/IC/SCMP/SCMP-S-A0009547702/SCMP-S-A0009547702-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0
MCWR04X1602FTL;2447114;500;SMD;PassiveComponents;resistors;https://4donline.ihs.com/images/VipMasterIC/IC/SCMP/SCMP-S-A0009547702/SCMP-S-A0009547702-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0
MCMR04X4022FTL;2073013;500;SMD;PassiveComponents;resistors;https://www.farnell.com/datasheets/2860635.pdf
MC00625W040217K68;1803125;500;SMD;PassiveComponents;resistors;https://www.farnell.com/datasheets/2861421.pdf
MCMR04X200 JTL;2072748;500;SMD;PassiveComponents;resistors;https://www.farnell.com/datasheets/2860635.pdf
885012106031;—;1000;SMD;PassiveComponents;capacitors;https://www.we-online.com/components/products/datasheet/885012106031.pdf
694001;—;1;SMD;Connector;PowerJacks;https://www.we-online.com/en/components/products/download/inlay/694001
613001;—;1;SMD, THT;Connector;pinHeader_pinSocket;https://www.we-online.com/en/components/products/download/inlay/613001
150151;—;1;SMD, THT;Optoelectronic;LED;https://www.we-online.com/en/components/products/download/inlay/150151
158300;—;1;SMD;Optoelectronic;LED;https://www.we-online.com/en/components/products/download/inlay/158300
AC0805FR-07100KL;197-8152;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_51_RoHS_L_11.pdf
784770;—;1;SMD;PassiveComponents;inductors;https://www.we-online.com/components/products/datasheet/784770.pdf
830002;—;1;SMD;PassiveComponents;quartz;https://www.we-online.com/en/components/products/download/inlay/830002
560112;—;1;SMD;PassiveComponents;resistors;https://www.we-online.com/en/components/products/download/inlay/560112
830001;—;1;SMD, THT;PassiveComponents;quartz;https://www.we-online.com/en/components/products/download/inlay/830001
